latitude,longitude
-34.5701283366683,-58.4441790235737
-34.5699784014409,-58.44448550163
-34.5664219819869,-58.4520650417045
-34.5662841575709,-58.4523014527178
-34.5661414211478,-58.4519465102039
-34.5659533166214,-58.4522957737519
-34.5626855295467,-58.456327939588
-34.5626472753414,-58.4559730336955
-34.5624637205422,-58.4561206929737
-34.5623419636406,-58.4566269228169
-34.5621971792245,-58.45634761804
-34.5564204742561,-58.4619003597224
-34.5560592339421,-58.4622470567245
-34.555915958057,-58.4618526316835
-34.5559130615817,-58.4623810241645
-34.5557588310418,-58.4625303224064
-34.5556976113423,-58.4620603352118
-34.5553658426134,-58.462927034302
